Formulation,Zeta,Area_%
A100,-7.908666667,1.119949241089670
A75-E25,-27.93,0.18783070682700200
A50-E50,-53.19,0.24467119204452600
A25-E75,-51.28,0.012631883808210800
A75-F25,15.72,0.9220776526756540
A50-F50,18.42333333,25.569681404462800
A25-F75,47.73,42.73962482128270
B100,0.730333333,0.9818342620251230
B75-E25,-24.42666667,0.4591200086805560
B50-E50,-13.39666667,2.9791199927236500
B25-E75,-44.47,1.976541756025330
B75-F25,18.14333333,47.83727708205680
B50-F50,26.94666667,23.12564027075670
B25-F75,42.02333333,0.08268069597630720
C100,-5.858333333,0.18669178283292500
C75-E25,-29.12333333,0.0539343341503268
C50-E50,-41.52666667,0.23899252897773700
C25-E75,-34.57,0.7814075744229980
C75-F25,26.22333333,24.893362007889100
C50-F50,35.84666667,52.33533672257970
C25-F75,41.86333333,53.507213717192600
D100,-14.29033333,0.08754555695976310
D75-E25,-30.55666667,0.022551094005310500
D50-E50,-40.005,0.11601067835988600
D25-E75,-47.035,0.004493862974877450
D75-F25,23.36,0.19568349800857800
D50-F50,52.10333333,49.46035347732840
D25-F75,33.85666667,47.312703849443400
F100,34.86,36.36076883552900
E100,-58.085,0.017133725234885600
